"Genes";"GPD.PWM";"GPD.EMV";"BC.LS"
"AHCTF1";2,00513183209719e-05;1,72228373480869e-05;1,00105057841057e-05
"OR2L5";3,86929677998478e-05;2,72159028896786e-05;2,50240285102762e-05
"OR2T33";5,46384562733363e-07;4,57515181794919e-07;3,14283415601628e-07
"OR2T12";1,10223105386708e-06;1,44738872972732e-06;1,94787193860736e-07
"OR2M7";8,64038764459485e-08;1,90640488252403e-08;9,67145517814198e-08
"OR2T34";6,72708070687034e-05;6,31023753377802e-05;4,66476604630855e-05
"SH3YL1";8,19605343171118e-05;6,26740759688398e-05;6,7983498727281e-05
"SNTG2";4,04360660198575e-05;2,97424146062756e-05;2,80092671174301e-05
"PXDN";0;1,39574530821918e-13;4,8300079356627e-10
"TRAPPC12";2,25792422354351e-07;1,16985520711975e-06;4,03208680851163e-06
"DCDC2C";5,74873384176995e-06;6,04469632513971e-06;5,4715088690254e-06
"GRHL1";1,32995144904975e-07;9,44640860186252e-08;5,61476895436723e-08
"KLF11";2,34179839965631e-08;1,25172408406546e-07;6,44580309494297e-09
"CYS1";2,32889278106718e-11;5,42084978057966e-10;4,33415214912717e-10
"AC104794.4";1,94798172485887e-05;2,13591639513227e-05;1,90547602323395e-05
"RRM2";0,00014;0,00014;0,000130287412715461
"HPCAL1";2,49300580179579e-17;1,0032638150248e-11;1,16292104619679e-14
"ODC1";3,00472621128645e-10;1,08790974614048e-08;1,14317213232994e-08
"NOL10";8,30946459566828e-10;9,3928374624852e-11;1,4223573298663e-08
"GREB1";1,3596200335755e-07;1,38642369925646e-07;7,99390025129413e-08
"TRIB2";2,17936071011279e-05;1,89685845986725e-05;1,10663493165305e-05
"NBAS";4,19034867215715e-05;3,28557726827077e-05;3,84453493169639e-05
"FAM49A";8,03347990074865e-11;7,34464289686709e-11;6,48487900281605e-19
"MSGN1";9,10174321849345e-07;1,71370017963577e-06;1,04152809099089e-06
"KCNS3";1,34445127784821e-09;2,11562502644425e-10;2,09764681485048e-17
"OSR1";5,71856488956541e-06;7,14508349454452e-06;5,38938206420089e-06
"LAPTM4A";2,07055577418245e-07;4,23457864609289e-08;2,97444344488681e-08
"SDC1";1,27615648430388e-05;6,45867459731947e-06;1,45582544797766e-05
"C2orf43";4,16903452918671e-09;1,77372781207108e-11;1,90873301543176e-09
"EFR3B";2,31320657527179e-09;3,93024255459506e-10;6,77421014860556e-12
"POMC";1,11038478411984e-14;7,54228435262405e-14;1,24185624629958e-18
"DNMT3A";4,81632512931657e-07;1,05032865838052e-06;3,87892426304276e-07
"DTNB";0;0;2,4055214123285e-13
"KIF3C";3,0762772479839e-06;4,11643364553233e-06;4,58890613301113e-06
"OTOF";5,68974302631586e-09;0;1,58997756882056e-09
"C2orf70";5,28459748598626e-06;2,2535031505365e-06;3,1498676874662e-06
"EIF2B4";8,79955028812326e-05;8,01016094268537e-05;7,99013046742346e-05
"PLB1";1,1018847423383e-12;0;1,57164227574497e-13
"CLIP4";4,11664131818822e-05;4,49489685930176e-05;4,85170037493373e-05
"ALK";0;0;4,17845814401289e-17
"LBH";4,05102432684926e-06;2,92978038831778e-06;5,33506273452105e-06
"CAPN13";8,6235674490176e-13;0;3,64661085334848e-09
"GALNT14";1,83921685779047e-05;2,53600384047962e-05;1,67885007821014e-05
"XDH";4,72015003491363e-06;1,80966161482455e-06;1,77448655463767e-06
"SLC30A6";2,37708412743211e-05;1,55505126209187e-05;2,24152716433543e-05
"RASGRP3";0;0;1,5352117223525e-19
"CRIM1";1,0677457550392e-05;7,9507094496785e-06;1,46090907159158e-05
"VIT";3,81912835246228e-05;4,33446505832869e-05;3,57943792434883e-05
"QPCT";1,17498389829455e-06;1,64943346824787e-06;3,71795542719029e-06
"CYP1B1";1,57600543461335e-06;1,87134152746607e-06;1,48520123620762e-06
"GALM";1,05532007121542e-05;1,13807388008772e-05;1,10616708427667e-05
"ARHGEF33";6,2544147232515e-08;7,5321182917395e-08;5,68942605837025e-07
"TMEM178A";1,61176560529013e-05;1,03984453317131e-05;1,13255955109547e-05
"SLC8A1";4,89376127529424e-05;5,2553566274429e-05;4,75540336869661e-05
"C2orf91";1,24230613777982e-07;2,00533228667477e-08;9,87340291854233e-08
"PRKCE";0;0;2,02490886152454e-60
"EPAS1";1,06133025217107e-05;6,14041363880887e-06;1,087521327596e-05
"EPCAM";8,69730407737923e-08;4,82686257250535e-07;7,45975766028917e-07
"KCNK12";1,41278319117389e-07;4,68160979516999e-07;3,82687019611435e-07
"STON1-GTF2A1L";3,70077305727951e-06;2,2204369568448e-06;5,76208774212519e-07
"NRXN1";1,86369634724848e-11;1,32993549506466e-14;6,36639273785696e-13
"GPR75-ASB3";2,11309387765368e-13;1,20772281064774e-15;2,51098322660777e-14
"ASB3";1,41939447935258e-06;2,41316740306442e-06;1,7701848875057e-06
"CHAC2";3,20341598092253e-06;6,3119690912351e-06;2,12853861317548e-06
"ERLEC1";8,13466316433258e-06;2,17143314511906e-06;3,00352188655025e-06
"GPR75";1,95464505538074e-06;2,42547274189426e-06;2,5939866602663e-07
"PSME4";1,70216739708413e-05;1,91901844078904e-05;1,55073948169146e-05
"ACYP2";6,9426929925731e-07;1,04384231884599e-06;9,21001985952712e-07
"SPTBN1";0;4,6191519498251e-14;1,0292610924656e-12
"EML6";1,60935374039495e-10;5,54001289287953e-19;5,4785933913947e-16
"RTN4";1,86028224228307e-09;5,42141597067292e-08;1,03170603226081e-07
"PNPT1";2,88403045683665e-05;2,61263471782602e-05;2,42032770714432e-05
"CCDC85A";7,34945367786288e-12;0;1,83796422440248e-17
"VRK2";1,02905075907329e-05;5,96901559955443e-06;4,24220899124848e-06
"FANCL";1,43601603642854e-06;1,8975625899113e-06;3,20514645205643e-06
"BCL11A";0;0;1,16643060003703e-09
