"Genes";"GPD.PWM";"GPD.EMV";"BC.LS"
"SH3D21";8,51061835853509e-06;6,34430907550895e-06;2,74207450757207e-06
"CSF3R";1,43388479691764e-05;1,45967867492433e-05;8,59341021182729e-06
"GRIK3";1,13058127940832e-05;7,4749559885066e-06;3,28410168407661e-06
"ZC3H12A";1,9215036463683e-06;1,123107773794e-06;7,38756503484044e-08
"MEAF6";5,0505193851791e-06;4,94069055730558e-06;3,75811800526102e-06
"SNIP1";5,30304187924215e-06;3,72258275402361e-06;1,65775728135326e-06
"GNL2";2,11328530535165e-05;2,143140944256e-05;1,3007765332331e-05
"EPHA10";1,93410326028951e-05;1,93750554646497e-05;1,94388944227303e-05
"MANEAL";5,23040528709396e-06;4,12841755693867e-06;9,8835487054523e-07
"YRDC";1,23542287511214e-16;3,65056490370108e-11;1,28112690859566e-07
"MTF1";8,12525483191995e-09;2,30907968947758e-10;3,66549635736041e-08
"NDUFS5";1,38489694637313e-06;7,50153354265374e-06;6,02878438576268e-06
"TRIT1";1,63604613471933e-05;1,53014111240846e-05;2,07441618629475e-05
"MYCL";2,18800823524308e-05;2,3675704082225e-05;1,41941642206218e-05
"MFSD2A";9,59024852395318e-08;1,15656166236122e-08;2,72739961085571e-10
"SMAP2";8,18116113138412e-07;1,51347565353729e-07;4,3410574276566e-07
"HIVEP3";1,71616144903438e-07;8,34786154571798e-08;9,82166375245019e-08
"FAM183A";2,43711351672495e-07;1,98703561146949e-07;1,04623452694692e-09
"WDR65";1,18470396474243e-06;2,2047361807335e-07;3,20426503489507e-07
"SLC6A9";5,62068864632166e-05;6,64374402122561e-05;8,05396102595106e-05
"KLF17";1,28155262426655e-05;1,06389952948925e-05;1,15984668722512e-05
"ERI3";1,81087076593971e-05;2,12383124156573e-05;1,59310459073214e-05
"RNF220";8,05035389095909e-08;1,00477464863842e-07;5,40265233368094e-07
"LURAP1";9,85291182253213e-07;1,08924931411192e-06;9,74836698458141e-07
"RAD54L";8,09855185698161e-08;2,63477038458172e-07;2,34467372809697e-07
"LRRC41";0;3,61013776761787e-12;5,67369900216181e-12
"UQCRH";3,98886928866698e-06;7,02035001894181e-07;3,63341937815767e-06
"CYP4X1";1,42460501989301e-05;8,17215672636621e-06;9,40001835826421e-06
"TRABD2B";7,35547263209508e-06;1,94347286351585e-05;1,63785203981388e-05
"ELAVL4";2,60902564150404e-06;3,56704061104036e-06;2,46943337903477e-06
"DMRTA2";8,6310340535809e-08;1,07417372726282e-08;7,84404681515699e-11
"FAF1";2,70828183951266e-07;3,01651669709543e-07;1,43657622808524e-07
"CDKN2C";1,07545753928464e-05;1,03540337528621e-05;3,4912982724562e-06
"AL357673.1";2,21135010795163e-07;1,59042082158353e-07;4,55341579572911e-09
"MROH7";7,01808226455193e-07;6,25506594935715e-07;1,23367092810145e-06
"DAB1";0;0;8,15470352461855e-95
"MYSM1";6,26559924043923e-09;3,98794020166071e-09;3,95799677042791e-08
"FGGY";4,47164077611235e-07;4,20513490386017e-07;2,83164957576137e-08
"NFIA";1,66200386786386e-18;0;1,54640006357688e-25
"INADL";8,61927214683145e-09;6,74735458942033e-10;8,74650878821915e-11
"PGM1";5,98189092267064e-05;4,94055935898689e-05;5,69559258349163e-05
"ROR1";8,55117584742315e-08;0;3,96343198794318e-10
"UBE2U";3,93805489673704e-05;3,56872307436165e-05;4,33787403561715e-05
"CACHD1";4,45766057399766e-14;1,25821781216118e-11;1,27782645909638e-09
"DNAJC6";2,73290121985855e-05;1,74085258474595e-05;1,72851028674774e-05
"LEPROT";1,16179137783461e-05;8,61020777263211e-06;4,45625607270989e-06
"PDE4B";8,25809514012699e-08;5,7620796645006e-08;6,80640510307383e-09
"WDR78";1,36334330765268e-07;1,87623786684983e-07;9,8104321241963e-07
"MIER1";4,02415493033856e-07;9,90628685807873e-07;1,06204637874716e-06
"SLC35D1";5,18009038264202e-06;6,19236074545257e-06;6,29003727647935e-06
"SERBP1";4,12318941268944e-05;3,69243023349127e-05;3,23683514494268e-05
